"species","IUCNstatus"
"Abarema_langsdorffii","NotThreatened"
"Acacia_exudans","NotEvaluated"
"Acacia_leiophylla","NotThreatened"
"Acacia_nanodealbata","Threatened"
"Acacia_polybotrya","NotThreatened"
"Acacia_rostriformis","NotEvaluated"
"Acacia_tingoorensis","NotEvaluated"
"Acanthosyris_spinescens","NotEvaluated"
"Acca_sellowiana","NotEvaluated"
"Achatocarpus_praecox","NotThreatened"
"Acridocarpus_spectabilis","NotThreatened"
"Acrocomia_hassleri","NotEvaluated"
"Acrocomia_totai","NotThreatened"
"Actinostemon_concepcionis","DD"
"Actinostemon_concolor","NotThreatened"
"Adansonia_grandidieri","Threatened"
"Adansonia_perrieri","Threatened"
"Adelia_membranifolia","NotThreatened"
"Aegiphila_brachiata","NotThreatened"
"Aegiphila_mediterranea","NotThreatened"
"Aegiphila_obducta","NotThreatened"
"Aegiphila_steinbachii","Vulnerable"
"Aeschynomene_burttii","Threatened"
"Aeschynomene_megalophylla","NotEvaluated"
"Afraegle_paniculata","NotEvaluated"
"Afrocanthium_burttii","NotEvaluated"
"Afrocanthium_keniense","Vulnerable"
"Afrocanthium_kilifiense","NotThreatened"
"Afrocanthium_parasiebenlistii","NotEvaluated"
"Afrocanthium_peteri","Vulnerable"
"Afrocanthium_pseudorandii","NotThreatened"
"Afrocanthium_siebenlistii","Vulnerable"
"Afrocarpus_dawei","NotThreatened"
"Afrocarpus_gracilior","NotThreatened"
"Afrocarpus_usambarensis","Threatened"
"Agarista_eucalyptoides","NotEvaluated"
"Agarista_uleana","NotEvaluated"
"Aiouea_bracteata","Threatened"
"Aiouea_saligna","NotThreatened"
"Aiouea_trinervis","NotThreatened"
"Alangium_chinense","NotEvaluated"
"Albizia_burkartiana","Threatened"
"Albizia_chevalieri","NotThreatened"
"Albizia_edwallii","NotThreatened"
"Albizia_grandibracteata","NotThreatened"
"Albizia_schimperiana","NotThreatened"
"Albizia_zimmermannii","NotEvaluated"
"Alchornea_sidifolia","NotEvaluated"
"Algernonia_riedelii","NotThreatened"
"Allanblackia_kimbiliensis","Threatened"
"Allanblackia_stuhlmannii","NotThreatened"
"Allanblackia_ulugurensis","Vulnerable"
"Allophylus_chaunostachys","NotThreatened"
"Allophylus_dummeri","NotEvaluated"
"Allophylus_guaraniticus","NotEvaluated"
"Allophylus_melliodorus","NotEvaluated"
"Allophylus_pseudopaniculatus","NotEvaluated"
"Allophylus_tanzaniensis","NotEvaluated"
"Allophylus_vestitus","NotEvaluated"
"Aloe_ballyi","Threatened"
"Aloe_excelsa","NotEvaluated"
"Aloe_mawii","NotThreatened"
"Aloe_volkensii","NotThreatened"
"Alseis_floribunda","NotThreatened"
"Alseodaphne_semecarpifolia","NotThreatened"
"Alsodeiopsis_schumannii","NotThreatened"
"Amaioua_intermedia","NotThreatened"
"Amyrea_grandifolia","Threatened"
"Anacardium_humile","NotEvaluated"
"Andira_anthelmia","NotThreatened"
"Andira_cujabensis","NotThreatened"
"Andira_fraxinifolia","NotThreatened"
"Angylocalyx_braunii","Vulnerable"
"Aniba_heringeri","NotEvaluated"
"Anisophyllea_pomifera","NotThreatened"
"Annona_aurantiaca","NotThreatened"
"Annona_cacans","NotThreatened"
"Annona_crassiflora","NotThreatened"
"Annona_dioica","NotThreatened"
"Annona_emarginata","NotThreatened"
"Annona_gardneri","Threatened"
"Annona_maritima","NotThreatened"
"Annona_neosalicifolia","NotThreatened"
"Annona_neosericea","NotThreatened"
"Annona_rugulosa","NotThreatened"
"Annona_sylvatica","NotThreatened"
"Anthocleista_djalonensis","NotThreatened"
"Antidesma_elbertii","NotThreatened"
"Aporosa_serrata","NotEvaluated"
"Araucaria_angustifolia","Threatened"
"Areca_laosensis","NotEvaluated"
"Aristogeitonia_lophirifolia","Threatened"
"Aspidosperma_australe","NotThreatened"
"Aspidosperma_nobile","NotEvaluated"
"Aspidosperma_quirandy","NotEvaluated"
"Aspidosperma_ramiflorum","NotThreatened"
"Aspidosperma_tomentosum","NotThreatened"
"Asteranthe_asterias","NotThreatened"
"Asteranthe_lutea","Threatened"
"Astrocaryum_echinatum","NotEvaluated"
"Astronium_glaziovii","Threatened"
"Astronium_nelson-rosae","NotThreatened"
"Atalantia_dasycarpa","NotThreatened"
"Ateleia_glazioveana","NotEvaluated"
"Attalea_geraensis","NotEvaluated"
"Aubrevillea_kerstingii","NotThreatened"
"Averrhoidium_paraguaiense","NotEvaluated"
"Azara_uruguayensis","NotEvaluated"
"Baccharis_montana","NotEvaluated"
"Baccharis_punctulata","NotThreatened"
"Baccharis_semiserrata","NotEvaluated"
"Bactris_polystachya","Vulnerable"
"Bactris_setosa","NotEvaluated"
"Balfourodendron_riedelianum","Threatened"
"Balsamocitrus_dawei","Threatened"
"Balthasaria_schliebenii","NotThreatened"
"Banara_parviflora","NotThreatened"
"Banara_tomentosa","NotThreatened"
"Banisteriopsis_latifolia","NotThreatened"
"Baphia_cordifolia","Vulnerable"
"Baphia_semseiana","Threatened"
"Baphia_wollastonii","NotThreatened"
"Bastardiopsis_densiflora","NotEvaluated"
"Bathysa_australis","NotEvaluated"
"Bauhinia_bauhinioides","NotThreatened"
"Bauhinia_bicolor","DD"
"Bauhinia_brevicalyx","Threatened"
"Bauhinia_curvula","NotThreatened"
"Bauhinia_forficata","NotThreatened"
"Bauhinia_gardneri","NotEvaluated"
"Bauhinia_glaziovii","Threatened"
"Bauhinia_hagenbeckii","NotEvaluated"
"Bauhinia_longifolia","NotThreatened"
"Bauhinia_mollis","NotEvaluated"
"Bauhinia_petersiana","NotThreatened"
"Bauhinia_rufa","NotThreatened"
"Bauhinia_uruguayensis","NotEvaluated"
"Beilschmiedia_michelsonii","Threatened"
"Beilschmiedia_ugandensis","NotThreatened"
"Benkara_armigera","NotEvaluated"
"Berberis_laurina","NotEvaluated"
"Bernardia_pulchella","NotEvaluated"
"Bertiera_pauloi","Vulnerable"
"Blachia_siamensis","NotEvaluated"
"Blepharocalyx_salicifolius","NotEvaluated"
"Blighia_sapida","NotThreatened"
"Bombax_costatum","NotThreatened"
"Borassus_akeassii","NotThreatened"
"Boswellia_dalzielii","NotEvaluated"
"Bougainvillea_glabra","NotThreatened"
"Brachystegia_allenii","NotThreatened"
"Brachystegia_bussei","NotThreatened"
"Brachystegia_stipulata","NotEvaluated"
"Brachystegia_tamarindoides","NotThreatened"
"Brackenridgea_zanguebarica","NotEvaluated"
"Bridelia_brideliifolia","NotThreatened"
"Bridelia_curtisii","NotThreatened"
"Bridelia_duvigneaudii","NotEvaluated"
"Bridelia_ferruginea","NotThreatened"
"Bridelia_taitensis","Vulnerable"
"Brunfelsia_australis","NotThreatened"
"Brunfelsia_pauciflora","NotThreatened"
"Buchanania_reticulata","NotEvaluated"
"Bullockia_impressinervia","Threatened"
"Bullockia_mombazensis","NotEvaluated"
"Bunchosia_pallescens","NotThreatened"
"Burttia_prunoides","NotThreatened"
"Bussea_massaiensis","NotThreatened"
"Butia_capitata","NotEvaluated"
"Butia_eriospatha","Vulnerable"
"Butia_odorata","NotEvaluated"
"Butia_paraguayensis","NotThreatened"
"Butia_purpurascens","Vulnerable"
"Butia_yatay","NotEvaluated"
"Buxus_obtusifolia","Vulnerable"
"Byrsonima_affinis","NotThreatened"
"Byrsonima_basiloba","NotThreatened"
"Byrsonima_clausseniana","NotThreatened"
"Byrsonima_grisebachiana","NotEvaluated"
"Byrsonima_guilleminiana","NotThreatened"
"Byrsonima_intermedia","NotEvaluated"
"Byrsonima_laxiflora","NotThreatened"
"Byrsonima_ligustrifolia","NotThreatened"
"Byrsonima_pachyphylla","NotThreatened"
"Byrsonima_salzmanniana","NotThreatened"
"Byrsonima_umbellata","NotThreatened"
"Cadaba_kirkii","NotThreatened"
"Cadia_pedicellata","Vulnerable"
"Calamus_siamensis","NotThreatened"
"Calliandra_brevicaulis","NotEvaluated"
"Calliandra_foliolosa","NotEvaluated"
"Calliandra_haematocephala","NotEvaluated"
"Calliandra_tweediei","NotThreatened"
"Callianthe_picta","NotEvaluated"
"Callicarpa_tomentosa","NotEvaluated"
"Callisthene_inundata","NotEvaluated"
"Callisthene_major","NotThreatened"
"Calycolpus_sessiliflorus","NotEvaluated"
"Camellia_indochinensis","NotThreatened"
"Campomanesia_guaviroba","NotEvaluated"
"Campomanesia_guazumifolia","NotThreatened"
"Campomanesia_neriiflora","Vulnerable"
"Campomanesia_pubescens","NotEvaluated"
"Campomanesia_rufa","DD"
"Campomanesia_sessiliflora","NotEvaluated"
"Campomanesia_velutina","NotThreatened"
"Campomanesia_xanthocarpa","NotEvaluated"
"Canthium_coffeoides","NotEvaluated"
"Canthium_coromandelicum","NotEvaluated"
"Canthium_glaucum","NotThreatened"
"Canthium_oligocarpum","NotThreatened"
"Cantinoa_duplicatodentata","NotThreatened"
"Carapa_grandiflora","NotThreatened"
"Carpolobia_goetzei","NotThreatened"
"Caryocar_brasiliense","NotThreatened"
"Caryodendron_janeirense","NotThreatened"
"Casearia_battiscombei","NotEvaluated"
"Casearia_catharinensis","Threatened"
"Casearia_lasiophylla","DD"
"Casearia_obliqua","NotThreatened"
"Casearia_paranaensis","NotThreatened"
"Casearia_runssorica","NotEvaluated"
"Casearia_rupestris","NotThreatened"
"Cassia_leptophylla","NotThreatened"
"Cassia_sieberiana","NotThreatened"
"Cassipourea_celastroides","NotThreatened"
"Cassipourea_leptoneura","Threatened"
"Cassipourea_ndando","Vulnerable"
"Castanopsis_pierrei","NotEvaluated"
"Castanopsis_piriformis","NotEvaluated"
